Property_ID,VG,Property_Name,BU,Timezone,Platform,From_DT,To_DT,is_active
337404022,AE,DOM GA4 AE,Domestic,Asia/Dubai,intershop,2023-06-20,2050-12-31,Y
334315692,AT,DOM GA4 AT,Domestic,Europe/Vienna,hybris,2023-06-20,2050-12-31,Y
337382189,AU,DOM GA4 AU,Domestic,Australia/Perth,intershop,2023-06-20,2050-12-31,Y
334639010,BE,DOM GA4 BE,Domestic,Europe/Brussels,hybris,2023-06-20,2050-12-31,Y
413031195,BG,DOM GA4 BG,Domestic,Europe/Sofia,local,,2050-12-31,N
334641799,CH,DOM GA4 CH,Domestic,Europe/Zurich,hybris,2023-06-20,2050-12-31,Y
337400897,CN,DOM GA4 CN,Domestic,Asia/Shanghai,intershop,,2050-12-31,N
337422737,CZ,DOM GA4 CZ,Domestic,Europe/Prague,hybris,2023-06-20,2050-12-31,Y
333653103,DE,DOM GA4 DE,Domestic,Europe/Berlin,hybris,2023-06-20,2050-12-31,Y
334590223,DK,DOM GA4 DK,Domestic,Europe/Copenhagen,hybris,2023-06-20,2050-12-31,Y
337390576,EE,DOM GA4 EE,Domestic,Europe/Tallinn,intershop,2023-06-20,2050-12-31,Y
336642960,ES,DOM GA4 ES,Domestic,Europe/Madrid,hybris,2023-06-20,2050-12-31,Y
334635595,FI,DOM GA4 FI,Domestic,Europe/Helsinki,hybris,2023-06-20,2050-12-31,Y
334621683,FR,DOM GA4 FR,Domestic,Europe/Paris,hybris,2023-06-20,2050-12-31,Y
334633965,GB,DOM GA4 GB,Domestic,Europe/London,hybris,2023-06-20,2050-12-31,Y
353729085,GR,DOM GA4 GR,Domestic,Europe/Athens,hybris,2023-06-20,2050-12-31,Y
337392718,HK,DOM GA4 HK,Domestic,Asia/Hong_Kong,intershop,2023-06-20,2050-12-31,Y
337426966,HR,DOM GA4 HR,Domestic,Europe/Zagreb,intershop,2023-06-20,2050-12-31,Y
353747187,HU,DOM GA4 HU,Domestic,Europe/Budapest,hybris,2023-06-20,2050-12-31,Y
343551268,IE,DOM GA4 IE,Domestic,Europe/Dublin,hybris,2023-06-20,2050-12-31,Y
334627787,IT,DOM GA4 IT,Domestic,Europe/Rome,hybris,2023-06-20,2050-12-31,Y
350538165,JP,DOM GA4 JP,Domestic,Asia/Tokyo,intershop,2023-06-20,2050-12-31,Y
337401199,KR,DOM GA4 KR,Domestic,Asia/Seoul,intershop,2023-06-20,2050-12-31,Y
337389180,LT,DOM GA4 LT,Domestic,Europe/Vilnius,intershop,2023-06-20,2050-12-31,Y
334642800,LU,DOM GA4 LU,Domestic,Europe/Luxembourg,hybris,2023-06-20,2050-12-31,Y
337371706,LV,DOM GA4 LV,Domestic,Europe/Riga,intershop,2023-06-20,2050-12-31,Y
337409564,MY,DOM GA4 MY,Domestic,Asia/Kuching,intershop,2023-06-20,2050-12-31,Y
334636709,NL,DOM GA4 NL,Domestic,Europe/Amsterdam,hybris,2023-06-20,2050-12-31,Y
334644697,NO,DOM GA4 NO,Domestic,Europe/Oslo,hybris,2023-06-20,2050-12-31,Y
337416657,NZ,DOM GA4 NZ,Domestic,Pacific/Auckland,intershop,2023-06-20,2050-12-31,Y
353730371,PL,DOM GA4 PL,Domestic,Europe/Warsaw,hybris,2023-06-20,2050-12-31,Y
336669907,PT,DOM GA4 PT,Domestic,Europe/Lisbon,hybris,2023-06-20,2050-12-31,Y
334641895,SE,DOM GA4 SE,Domestic,Europe/Stockholm,hybris,2023-06-20,2050-12-31,Y
337382589,SG,DOM GA4 SG,Domestic,Asia/Singapore,intershop,2023-06-20,2050-12-31,Y
337369280,SI,DOM GA4 SI,Domestic,Europe/Ljubljana,local,2023-06-20,2050-12-31,Y
337419480,SK,DOM GA4 SK,Domestic,Europe/Bratislava,hybris,2023-06-20,2050-12-31,Y
334586179,US,DOM GA4 US,Domestic,America/Los_Angeles,hybris,2023-06-20,2050-12-31,Y
353760387,ZA,DOM GA4 ZA,Domestic,Africa/Johannesburg,legacy,,2050-12-31,N
403390826,AT,PROF GA4 AT,Professional,Europe/Vienna,hybris,,2050-12-31,Y
403428011,AU,PROF GA4 AU,Professional,Australia/Perth,intershop,,2050-12-31,Y
403410750,BE,PROF GA4 BE,Professional,Europe/Brussels,hybris,,2050-12-31,Y
403404775,CA,PROF GA4 CA,Professional,Canada/Vancouver,local,,2050-12-31,Y
403418163,CH,PROF GA4 CH,Professional,Europe/Zurich,hybris,,2050-12-31,Y
403404777,CN,PROF GA4 CN,Professional,Asia/Shanghai,intershop,,2050-12-31,N
403378802,CZ,PROF GA4 CZ,Professional,Europe/Prague,hybris,,2050-12-31,Y
403376782,DE,PROF GA4 DE,Professional,Europe/Berlin,hybris,,2050-12-31,Y
403436437,DK,PROF GA4 DK,Professional,Europe/Copenhagen,hybris,,2050-12-31,Y
403399786,ES,PROF GA4 ES,Professional,Europe/Madrid,hybris,,2050-12-31,Y
403386347,FI,PROF GA4 FI,Professional,Europe/Helsinki,hybris,,2050-12-31,Y
403401142,FR,PROF GA4 FR,Professional,Europe/Paris,hybris,,2050-12-31,Y
403431623,GB,PROF GA4 GB,Professional,Europe/London,hybris,,2050-12-31,Y
403406201,GR,PROF GA4 GR,Professional,Europe/Athens,hybris,,2050-12-31,Y
403398615,HU,PROF GA4 HU,Professional,Europe/Budapest,hybris,,2050-12-31,Y
403412605,IE,PROF GA4 IE,Professional,Europe/Dublin,hybris,,2050-12-31,Y
403380361,IT,PROF GA4 IT,Professional,Europe/Rome,hybris,,2050-12-31,Y
403405264,JP,PROF GA4 JP,Professional,Asia/Tokyo,intershop,,2050-12-31,Y
403412607,NL,PROF GA4 NL,Professional,Europe/Amsterdam,hybris,,2050-12-31,Y
403409789,NO,PROF GA4 NO,Professional,Europe/Oslo,hybris,,2050-12-31,Y
403418168,PL,PROF GA4 PL,Professional,Europe/Warsaw,hybris,,2050-12-31,Y
403405211,PT,PROF GA4 PT,Professional,Europe/Lisbon,hybris,,2050-12-31,Y
403396512,RU,PROF GA4 RU,Professional,Europe/Kaliningrad,,,2050-12-31,Y
403400260,SE,PROF GA4 SE,Professional,Europe/Stockholm,hybris,,2050-12-31,Y
403414467,TR,PROF GA4 TR,Professional,Europe/Istanbul,,,2050-12-31,Y
403396773,US,PROF GA4 US,Professional,America/Los_Angeles,hybris,,2050-12-31,Y