rep_unit_code,rep_unit_desc
11,Miele & Cie. KG
12,Mielewerke GmbH
15,MChef GmbH & Co. KG
16,Miele O.&P.S
17,Agrilution Systems GmbH
19,Miele Retail GmbH
21,Miele Sales Promot. GmbH
27,KptnCook
28,Miele Technology Inc.
29,Pioneering GmbH
35,Eurofilters NV
1000,VG D (VG1000)
1140,GTZ (HQ)
1141,Werk GTG (PW1141)
1142,Werk GTE (PW1142)
1143,GTZ - KD
1144,OEM Partner
1146,Export/LOV
1150,Werk BI (PW1150)
1151,Werk Dongguan (PW1151)
1155,Werk EU (PW1155)
1160,Werk LE (PW1160)
1161,Werk LE-FW (PW1161)
1165,Werk WFK (PW1165)
1170,Werk OE (PW1170)
2100,INTERNATIONAL STEELCO
2200,Miele X
2400,Yujin Robot
2626,Werk Ksawerow (PW2626)
2800,Otto Wilde Grillers (2800)
3000,Miele Global Servcies (3000)
3075,Werk BD (PW3075)
3076,Werk AB (PW3076)
3100,Miele Nordic RDC (3100)
3200,VG BR (VG3200)
3300,VG RS (VG3300)
3400,VG MY (VG3400)
3500,VG BG (VG3500)
3600,VG TH (VG3600)
4000,VG CL (VG4000)
4200,VG NZ (VG4200)
4300,VG RO (VG4300)
4400,VG IN (VG4400)
4600,VG LT (VG4600)
4700,VG EE (VG4700)
4800,VG KZ (VG4800)
4900,VG LV (VG4900)
5385,Werk BV (PW5385)
5490,Werk BM (PW5490)
5601,Werk DG (PW5601)
5795,Werk UN-W (PW5795)
5796,Werk UN-GSA (PW5796)
5799,Werk UN-ZB (PW5799)
6000,VG AU (VG6000)
6100,VG BE (VG6100)
6200,VG DK (VG6200)
6300,VG FI (VG6300)
6400,VG FR (VG6400)
6500,VG GR (VG6500)
6530,Zypern
6600,VG GB (VG6600)
6700,VG IE (VG6700)
6800,VG IT (VG6800)
6900,VG JP (VG6900)
7000,VG CA (VG7000)
7100,VG LU (VG7100)
7200,VG NL (VG7200)
7300,VG NO (VG7300)
7400,VG AT (VG7400)
7500,VG PT (VG7500)
7600,VG SE (VG7600)
7700,VG CH (VG7700)
7800,VG ES (VG7800)
7900,VG ZA (VG7900)
8000,VG CZ (VG8000)
8100,VG HU (VG8100)
8200,VG US (VG8200)
8300,VG HK (VG8300)
8301,VG HK-MO (VG8300)
8400,VG PL (VG8400)
8500,VG RU (VG8500)
8600,VG TR (VG8600)
8700,VG SI (VG8700)
8800,VG MX (VG8800)
8900,VG UA (VG8900)
9000,VG SG (VG9000)
9100,VG SK (VG9100)
9200,VG HR (VG9200)
9400,VG KR (VG9400)
9500,VG AE (VG9500)
9600,VG CN (VG9600)
9601,VG CN: Beijing
9602,VG CN: Shanghai