member_code,member_desc,flag_relevant
AGN,Standard Item,NON_RELEVANT
AGNN,Free of Charge Item,NON_RELEVANT
G2N,Request,NON_RELEVANT
G2TX,Text Item,NON_RELEVANT
G2W,Request,NON_RELEVANT
KAN,Consignment Pick-up,NON_RELEVANT
KBN,Consignment Fill-up,NON_RELEVANT
KEN,Consignment Issue,NON_RELEVANT
L2N,Request,NON_RELEVANT
L2W,Request,NON_RELEVANT
TAD,Service,NON_RELEVANT
TAW,Value Item,NON_RELEVANT
ZAGX,ZAGX,NON_RELEVANT
ZALF,ZALF,NON_RELEVANT
ZALG,ZALG,NON_RELEVANT
ZALK,ZALK,NON_RELEVANT
ZAMN,ZAMN,NON_RELEVANT
ZANF,ZANF,NON_RELEVANT
ZANG,ZANG,NON_RELEVANT
ZANK,ZANK,NON_RELEVANT
ZATX,ZATX,NON_RELEVANT
ZAUS,ZAUS,NON_RELEVANT
ZBAA,ZBAA,NON_RELEVANT
ZBV1,ZBV1,NON_RELEVANT
ZBVN,ZBVN,NON_RELEVANT
ZD0S,ZD0S,NON_RELEVANT
ZD1S,ZD1S,NON_RELEVANT
ZDH0,ZDH0,NON_RELEVANT
ZDU1,ZDU1,NON_RELEVANT
ZFBN,ZFBN,NON_RELEVANT
ZFDG,ZFDG,NON_RELEVANT
ZFL1,ZFL1,NON_RELEVANT
ZFT1,ZFT1,NON_RELEVANT
ZFTF,ZFTF,NON_RELEVANT
ZFTG,ZFTG,NON_RELEVANT
ZFTK,ZFTK,NON_RELEVANT
ZFTN,ZFTN,NON_RELEVANT
ZG22,ZG22,NON_RELEVANT
ZG2N,ZG2N,NON_RELEVANT
ZG2W,ZG2W,NON_RELEVANT
ZGD,ZGD,NON_RELEVANT
ZGF,ZGF,NON_RELEVANT
ZGG,ZGG,NON_RELEVANT
ZGK,ZGK,NON_RELEVANT
ZGM,ZGM,NON_RELEVANT
ZGW1,ZGW1,NON_RELEVANT
ZGW5,ZGW5,NON_RELEVANT
ZHAW,ZHAW,NON_RELEVANT
ZIAK,ZIAK,NON_RELEVANT
ZIBL,ZIBL,NON_RELEVANT
ZIBN,ZIBN,NON_RELEVANT
ZKAA,ZKAA,NON_RELEVANT
ZKAV,ZKAV,NON_RELEVANT
ZKDE,ZKDE,NON_RELEVANT
ZKDH,ZKDH,NON_RELEVANT
ZKDP,ZKDP,NON_RELEVANT
ZKO2,ZKO2,NON_RELEVANT
ZKO4,ZKO4,NON_RELEVANT
ZKO5,ZKO5,NON_RELEVANT
ZKOM,ZKOM,NON_RELEVANT
ZL2D,ZL2D,NON_RELEVANT
ZL2L,ZL2L,NON_RELEVANT
ZL2N,ZL2N,NON_RELEVANT
ZL2W,ZL2W,NON_RELEVANT
ZLGE,ZLGE,NON_RELEVANT
ZLKE,ZLKE,NON_RELEVANT
ZLMI,ZLMI,NON_RELEVANT
ZLW1,ZLW1,NON_RELEVANT
ZLW5,ZLW5,NON_RELEVANT
ZMBE,ZMBE,NON_RELEVANT
ZML,ZML,NON_RELEVANT
ZNAG,ZNAG,NON_RELEVANT
ZNAU,ZNAU,NON_RELEVANT
ZNU,ZNU,NON_RELEVANT
ZPRE,ZPRE,NON_RELEVANT
ZPS1,ZPS1,NON_RELEVANT
ZPS2,ZPS2,NON_RELEVANT
ZPS3,ZPS3,NON_RELEVANT
ZPST,ZPST,NON_RELEVANT
ZR1,ZR1,NON_RELEVANT
ZR3,ZR3,NON_RELEVANT
ZR5Z,ZR5Z,NON_RELEVANT
ZR6Z,ZR6Z,NON_RELEVANT
ZRBV,ZRBV,NON_RELEVANT
ZREK,ZREK,NON_RELEVANT
ZREN,ZREN,NON_RELEVANT
ZREW,ZREW,NON_RELEVANT
ZSEA,ZSEA,NON_RELEVANT
ZSET,ZSET,NON_RELEVANT
ZSP2,ZSP2,NON_RELEVANT
ZSPA,ZSPA,NON_RELEVANT
ZSPS,ZSPS,NON_RELEVANT
ZSPV,ZSPV,NON_RELEVANT
ZT2,ZT2,NON_RELEVANT
ZT3,ZT3,NON_RELEVANT
ZT4,ZT4,NON_RELEVANT
ZTA1,ZTA1,NON_RELEVANT
ZTA2,ZTA2,NON_RELEVANT
ZTAA,ZTAA,NON_RELEVANT
ZTAB,ZTAB,NON_RELEVANT
ZTAK,ZTAK,NON_RELEVANT
ZTAL,ZTAL,NON_RELEVANT
ZTAN,ZTAN,NON_RELEVANT
ZTAX,ZTAX,NON_RELEVANT
ZTKF,ZTKF,NON_RELEVANT
ZTKG,ZTKG,NON_RELEVANT
ZTKK,ZTKK,NON_RELEVANT
ZTN,ZTN,NON_RELEVANT
ZTN1,ZTN1,NON_RELEVANT
ZTNA,ZTNA,NON_RELEVANT
ZTW,ZTW,NON_RELEVANT
ZTW1,ZTW1,NON_RELEVANT
ZTW2,ZTW2,NON_RELEVANT
ZTWA,ZTWA,NON_RELEVANT
ZTWK,ZTWK,NON_RELEVANT
ZTX,ZTX,NON_RELEVANT
ZTXW,ZTXW,NON_RELEVANT
ZTXX,ZTXX,NON_RELEVANT
ZVN,ZVN,NON_RELEVANT
ZVR1,Compl. Return,NON_RELEVANT
ZVW,ZVW,NON_RELEVANT
ZVZA,ZVZA,NON_RELEVANT
ZVZB,ZVZB,NON_RELEVANT
ZVZK,ZVZK,NON_RELEVANT
ZVZW,ZVZW,NON_RELEVANT
ZWA,ZWA,NON_RELEVANT
ZWAB,ZWAB,NON_RELEVANT
ZWDB,ZWDB,NON_RELEVANT
ZWM,ZWM,NON_RELEVANT
ZWMB,ZWMB,NON_RELEVANT
ZZA2,ZZA2,NON_RELEVANT
ZZAH,ZZAH,NON_RELEVANT
ZZAN,ZZAN,NON_RELEVANT
ZZBL,ZZBL,NON_RELEVANT
ZZBO,ZZBO,NON_RELEVANT
ZZDU,ZZDU,NON_RELEVANT
ZZKE,ZZKE,NON_RELEVANT
ZZKO,ZZKO,NON_RELEVANT
ZZR1,ZZR1,NON_RELEVANT
ZZR2,ZZR2,NON_RELEVANT
ZZR3,ZZR3,NON_RELEVANT
ZZR4,ZZR4,NON_RELEVANT
ZZR5,ZZR5,NON_RELEVANT
ZZR6,ZZR6,NON_RELEVANT
ZZRD,ZZRD,NON_RELEVANT
ZZS3,ZZS3,NON_RELEVANT
ZZST,ZZST,NON_RELEVANT
ZZZ1,ZZZ1,NON_RELEVANT
ZZZB,ZZZB,NON_RELEVANT
ZZZD,ZZZD,NON_RELEVANT
